Original Excel Title,Parsed Title,Platform (Normalized),Season,Volume,Release Year (Excel),TMDB Match Found,TMDB Title,TMDB Year,Year Mismatch,Confidence,IMDb Rating Found,IMDb Rating,Status,Action Taken,Possible Duplicate,Match Reason
How to Train Your Dragon (JioHotstar),How to Train Your Dragon,jiohotstar,,,2025,Yes,How to Train Your Dragon,2025,No,high,Yes,7.8,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Lokah Chapter 1 : Chandra (JioHotstar),Lokah Chapter 1 : Chandra,jiohotstar,,,2025,Yes,Lokah Chapter 1: Chandra,2025,No,high,Yes,8.1,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Idli Kadai (Netflix),Idli Kadai,netflix,,,Missing,Yes,Idli Kadai,2025,Excel year missing,low,No,N/A,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
They Call Him OG (Netflix),They Call Him OG,netflix,,,Missing,Yes,They Call Him OG,2025,Excel year missing,low,No,N/A,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
Vash Vivash Level 2 (Netflix),Vash Vivash Level 2,netflix,,,Missing,No,N/A,N/A,Excel year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Nadu Center (JioHotstar),Nadu Center,jiohotstar,,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Pharma (JioHotstar),Pharma,jiohotstar,,,Missing,No,N/A,N/A,Excel year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Bigg Boss S9 (JioHotstar),Bigg Boss,jiohotstar,9.0,,Missing,Yes,Bigg Boss,2013,Excel year missing,low,Yes,6.2,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
Bigg Boss S9 (JioHotstar),Bigg Boss,jiohotstar,9.0,,Missing,Yes,Bigg Boss,2013,Excel year missing,low,Yes,6.2,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
Anandalahari (Aha),Anandalahari,aha,,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Chiranjeeva (Aha),Chiranjeeva,aha,,,2025,Yes,Chiranjeeva,2025,No,high,No,N/A,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Bad Girl (JioHotstar),Bad Girl,jiohotstar,,,2025,Yes,Bad Girl,2025,No,high,No,N/A,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Shakthi Thirumagan  (JioHotstar),Shakthi Thirumagan,jiohotstar,,,Missing,Yes,Shakthi Thirumagan,2025,Excel year missing,low,No,N/A,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
Mirai (JioHotstar),Mirai,jiohotstar,,,Missing,No,N/A,N/A,Excel year missing,low,No,N/A,needs_review,no_match,N/A,No match found
They Call Him OG (Netflix),They Call Him OG,netflix,,,2025,Yes,They Call Him OG,2025,No,high,No,N/A,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Mirage (SonyLIV),Mirage,sonyliv,,,2025,Yes,Mirage,2025,No,high,No,N/A,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Aabhyanthara Kuttavali (Zee5),Aabhyanthara Kuttavali,zee5,,,2025,No,N/A,N/A,TMDB year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Kishkindhapuri (Zee 5 ),Kishkindhapuri,zee_5_,,,2025,Yes,Kishkindhapuri,2025,No,high,No,N/A,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Madharaasi (Prime),Madharaasi,prime_video,,,2025,Yes,Madharaasi,2025,No,high,Yes,8.6,ok,dry_run,N/A,Title match + year proximity (confidence: high)
Pluribus (Appletv),Pluribus,apple_tv,,,Missing,Yes,Pluribus,2025,Excel year missing,low,No,N/A,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
The Morning Show S4 (Appletv),The Morning Show,apple_tv,4.0,,Missing,Yes,The Morning Show,2019,Excel year missing,low,Yes,8.1,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
The Last Frontier (Appletv),The Last Frontier,apple_tv,,,Missing,Yes,The Last Frontier,2025,Excel year missing,low,Yes,7.0,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
Invasion (Appletv),Invasion,apple_tv,,,Missing,Yes,Invasion,2021,Excel year missing,low,Yes,6.2,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
The Studio (Appletv),The Studio,apple_tv,,,Missing,Yes,The Studio,2025,Excel year missing,low,Yes,8.1,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
Ted Lasso (Appletv),Ted Lasso,apple_tv,,,Missing,Yes,Ted Lasso,2020,Excel year missing,low,Yes,8.8,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
The Lost Bus (Appletv),The Lost Bus,apple_tv,,,Missing,No,N/A,N/A,Excel year missing,low,No,N/A,needs_review,no_match,N/A,No match found
Chief Of War (Appletv),Chief Of War,apple_tv,,,Missing,Yes,Chief of War,2025,Excel year missing,low,Yes,7.5,needs_review,dry_run,N/A,Title match + year proximity (confidence: low)
